[GRIDCELLS]
6	2
[/]

#objID	Cell_X	Cell_Y
[POSITIONS]
0	0	0
100	0	0
100	1	0
100	1	0
100	1	0
101	1	0
102	1	0
102	2	0
102	4	0
103	2	0
103	2	0
103	2	0
104	3	0
105	0	0
105	3	0
197	0	0
198	4	0
198	4	0
205	2	0
205	2	0
205	2	0
205	2	0
205	2	0
205	2	0
205	2	0
205	2	0
205	2	0
205	2	0
205	3	0
205	3	0
205	3	0
205	3	0
205	3	0
205	3	0
205	3	0
205	3	0
205	3	0
205	3	0
205	3	0
205	3	0
205	3	0
205	4	0
205	4	0
205	4	1
205	4	1
205	4	1
205	4	1
205	4	1
205	4	1
205	4	1
205	4	1
205	4	1
205	4	1
206	5	0
300	0	0
300	0	0
300	0	0
300	0	0
300	0	0
300	1	0
300	1	0
300	2	0
301	2	0
301	4	0
301	3	0
301	4	0
301	4	0
301	3	0
301	3	0
301	4	0
301	4	0
301	4	0
301	4	0
301	3	0
301	3	0
301	3	0
301	4	0
301	4	0
301	4	0
301	4	0
301	4	0
301	4	0
555	0	0
555	3	0
555	3	0
555	4	0
555	4	0
555	3	0
555	4	0
555	4	0
555	4	0
[/]
