[GRIDCELLS]
2	2
[/]

#objID	Cell_X	Cell_Y
[POSITIONS]
0	0	0
198	0	0
198	1	0
198	0	0
198	0	0
198	0	0
198	1	0
198	1	0
198	1	0
198	1	0
198	1	0
198	1	0
198	0	0
198	0	0
198	0	0
198	0	1
198	0	1
198	1	1
198	1	0
198	0	0
198	1	0
198	1	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	1	0
400	1	0
400	1	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	0	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	0
400	1	1
400	1	1
401	1	0
402	1	0
[/]
